CAEN Rev.2  (activitati ale economiei nationale), Clase de marime, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Miliarde lei  lei RON  mii lei RON milioane lei RON (incepand cu 2005), Valoare
Total industrie  constructii  comert si alte servicii, Total, Bihor, Anul 2022, Milioane lei RON, 62790
Total industrie  constructii  comert si alte servicii, Total, Bihor, Anul 2023, Milioane lei RON, 67443
Total industrie  constructii  comert si alte servicii, Total, Bihor, Anul 2024, Milioane lei RON, 69357
Total industrie  constructii  comert si alte servicii, Total, Bistrita-Nasaud, Anul 2022, Milioane lei RON, 20403
Total industrie  constructii  comert si alte servicii, Total, Bistrita-Nasaud, Anul 2023, Milioane lei RON, 21568
Total industrie  constructii  comert si alte servicii, Total, Bistrita-Nasaud, Anul 2024, Milioane lei RON, 23303
Total industrie  constructii  comert si alte servicii, Total, Cluj, Anul 2022, Milioane lei RON, 108859
Total industrie  constructii  comert si alte servicii, Total, Cluj, Anul 2023, Milioane lei RON, 117694
Total industrie  constructii  comert si alte servicii, Total, Cluj, Anul 2024, Milioane lei RON, 128297
Total industrie  constructii  comert si alte servicii, Total, Maramures, Anul 2022, Milioane lei RON, 33238
Total industrie  constructii  comert si alte servicii, Total, Maramures, Anul 2023, Milioane lei RON, 34399
Total industrie  constructii  comert si alte servicii, Total, Maramures, Anul 2024, Milioane lei RON, 36417
Total industrie  constructii  comert si alte servicii, Total, Satu Mare, Anul 2022, Milioane lei RON, 28758
Total industrie  constructii  comert si alte servicii, Total, Satu Mare, Anul 2023, Milioane lei RON, 30934
Total industrie  constructii  comert si alte servicii, Total, Satu Mare, Anul 2024, Milioane lei RON, 27710
Total industrie  constructii  comert si alte servicii, Total, Salaj, Anul 2022, Milioane lei RON, 15530
Total industrie  constructii  comert si alte servicii, Total, Salaj, Anul 2023, Milioane lei RON, 16792
Total industrie  constructii  comert si alte servicii, Total, Salaj, Anul 2024, Milioane lei RON, 17604
Total industrie  constructii  comert si alte servicii, Total, Alba, Anul 2022, Milioane lei RON, 41890
Total industrie  constructii  comert si alte servicii, Total, Alba, Anul 2023, Milioane lei RON, 43686
Total industrie  constructii  comert si alte servicii, Total, Alba, Anul 2024, Milioane lei RON, 46034
Total industrie  constructii  comert si alte servicii, Total, Brasov, Anul 2022, Milioane lei RON, 84732
Total industrie  constructii  comert si alte servicii, Total, Brasov, Anul 2023, Milioane lei RON, 90965
Total industrie  constructii  comert si alte servicii, Total, Brasov, Anul 2024, Milioane lei RON, 92867
Total industrie  constructii  comert si alte servicii, Total, Covasna, Anul 2022, Milioane lei RON, 12261
Total industrie  constructii  comert si alte servicii, Total, Covasna, Anul 2023, Milioane lei RON, 11964
Total industrie  constructii  comert si alte servicii, Total, Covasna, Anul 2024, Milioane lei RON, 12795
Total industrie  constructii  comert si alte servicii, Total, Harghita, Anul 2022, Milioane lei RON, 18840
Total industrie  constructii  comert si alte servicii, Total, Harghita, Anul 2023, Milioane lei RON, 20291
Total industrie  constructii  comert si alte servicii, Total, Harghita, Anul 2024, Milioane lei RON, 21007
Total industrie  constructii  comert si alte servicii, Total, Mures, Anul 2022, Milioane lei RON, 64415
Total industrie  constructii  comert si alte servicii, Total, Mures, Anul 2023, Milioane lei RON, 57238
Total industrie  constructii  comert si alte servicii, Total, Mures, Anul 2024, Milioane lei RON, 61304
Total industrie  constructii  comert si alte servicii, Total, Sibiu, Anul 2022, Milioane lei RON, 60169
Total industrie  constructii  comert si alte servicii, Total, Sibiu, Anul 2023, Milioane lei RON, 65013
Total industrie  constructii  comert si alte servicii, Total, Sibiu, Anul 2024, Milioane lei RON, 61878
Total industrie  constructii  comert si alte servicii, Total, Bacau, Anul 2022, Milioane lei RON, 40706
Total industrie  constructii  comert si alte servicii, Total, Bacau, Anul 2023, Milioane lei RON, 46456
Total industrie  constructii  comert si alte servicii, Total, Bacau, Anul 2024, Milioane lei RON, 52421
Total industrie  constructii  comert si alte servicii, Total, Botosani, Anul 2022, Milioane lei RON, 12924
Total industrie  constructii  comert si alte servicii, Total, Botosani, Anul 2023, Milioane lei RON, 14774
Total industrie  constructii  comert si alte servicii, Total, Botosani, Anul 2024, Milioane lei RON, 15833
Total industrie  constructii  comert si alte servicii, Total, Iasi, Anul 2022, Milioane lei RON, 55492
Total industrie  constructii  comert si alte servicii, Total, Iasi, Anul 2023, Milioane lei RON, 59547
Total industrie  constructii  comert si alte servicii, Total, Iasi, Anul 2024, Milioane lei RON, 63020
Total industrie  constructii  comert si alte servicii, Total, Neamt, Anul 2022, Milioane lei RON, 25221
