"an","location_name","caen_description","total_value","yoy_growth","market_share_pct","growth_rank"
2008, Maramures,B  INDUSTRIA EXTRACTIVA,40000000,,0.30000750018750468800,1
2008, Suceava,B  INDUSTRIA EXTRACTIVA,111000000,,0.83252081302032550800,1
2008, Gorj,B  INDUSTRIA EXTRACTIVA,1016000000,,7.62019050476261906500,1
2008, Botosani,B  INDUSTRIA EXTRACTIVA,12000000,,0.09000225005625140600,1
2008, Bihor,B  INDUSTRIA EXTRACTIVA,240000000,,1.80004500112502812600,1
2008, Olt,B  INDUSTRIA EXTRACTIVA,27000000,,0.20250506262656566400,1
2008, Giurgiu,B  INDUSTRIA EXTRACTIVA,145000000,,1.08752718817970449300,1
2008, Dolj,B  INDUSTRIA EXTRACTIVA,287000000,,2.15255381384534613400,1
2008, Hunedoara,B  INDUSTRIA EXTRACTIVA,551000000,,4.13260331508287707200,1
2008, Ilfov,B  INDUSTRIA EXTRACTIVA,48000000,,0.36000900022500562500,1
2008, Dambovita,B  INDUSTRIA EXTRACTIVA,501000000,,3.75759393984849621200,1
2008, Arad,B  INDUSTRIA EXTRACTIVA,108000000,,0.81002025050626265700,1
2008, Buzau,B  INDUSTRIA EXTRACTIVA,67000000,,0.50251256281407035200,1
2008, Braila,B  INDUSTRIA EXTRACTIVA,102000000,,0.76501912547813695300,1
2008, Valcea,B  INDUSTRIA EXTRACTIVA,282000000,,2.11505287632190804800,1
2008, Satu Mare,B  INDUSTRIA EXTRACTIVA,15000000,,0.11250281257031425800,1
2008, Bistrita-Nasaud,B  INDUSTRIA EXTRACTIVA,21000000,,0.15750393759843996100,1
2008, Caras-Severin,B  INDUSTRIA EXTRACTIVA,91000000,,0.68251706292657316400,1
2008, Bacau,B  INDUSTRIA EXTRACTIVA,523000000,,3.92259806495162379100,1
2008, Sibiu,B  INDUSTRIA EXTRACTIVA,1993000000,,14.94787369684242106100,1
2008, Tulcea,B  INDUSTRIA EXTRACTIVA,83000000,,0.62251556288907222700,1
2008, Arges,B  INDUSTRIA EXTRACTIVA,455000000,,3.41258531463286582200,1
2008, Municipiul Bucuresti,B  INDUSTRIA EXTRACTIVA,1660000000,,12.45031125778144453600,1
2008, Cluj,B  INDUSTRIA EXTRACTIVA,237000000,,1.77754443861096527400,1
2008, Neamt,B  INDUSTRIA EXTRACTIVA,48000000,,0.36000900022500562500,1
2008, Harghita,B  INDUSTRIA EXTRACTIVA,76000000,,0.57001425035625890600,1
2008, Teleorman,B  INDUSTRIA EXTRACTIVA,462000000,,3.46508662716567914200,1
2008, Mehedinti,B  INDUSTRIA EXTRACTIVA,140000000,,1.05002625065626640700,1
2008, Vrancea,B  INDUSTRIA EXTRACTIVA,28000000,,0.21000525013125328100,1
2008, Alba,B  INDUSTRIA EXTRACTIVA,74000000,,0.55501387534688367200,1
2008, Prahova,B  INDUSTRIA EXTRACTIVA,1058000000,,7.93519837995949898700,1
2008, Salaj,B  INDUSTRIA EXTRACTIVA,15000000,,0.11250281257031425800,1
2008, Timis,B  INDUSTRIA EXTRACTIVA,281000000,,2.10755268881722043100,1
2008, Brasov,B  INDUSTRIA EXTRACTIVA,64000000,,0.48001200030000750000,1
2008, Iasi,B  INDUSTRIA EXTRACTIVA,22000000,,0.16500412510312757800,1
2008, Covasna,B  INDUSTRIA EXTRACTIVA,63000000,,0.47251181279531988300,1
2008, Ialomita,B  INDUSTRIA EXTRACTIVA,1000000,,0.007500187504687617190400,1
2008, Constanta,B  INDUSTRIA EXTRACTIVA,976000000,,7.32018300457511437800,1
2008, Mures,B  INDUSTRIA EXTRACTIVA,1388000000,,10.41026025650641266000,1
2008, Galati,B  INDUSTRIA EXTRACTIVA,22000000,,0.16500412510312757800,1
2008, Suceava,C  INDUSTRIA PRELUCRATOARE,2681000000,,1.11125388068424390400,1
2008, Braila,C  INDUSTRIA PRELUCRATOARE,2192000000,,0.90856714153668878700,1
2008, Cluj,C  INDUSTRIA PRELUCRATOARE,9032000000,,3.74369453574788919800,1
2008, Iasi,C  INDUSTRIA PRELUCRATOARE,3753000000,,1.55558963603430338400,1
2008, Dambovita,C  INDUSTRIA PRELUCRATOARE,4710000000,,1.95225877583841431800,1
2008, Dolj,C  INDUSTRIA PRELUCRATOARE,4528000000,,1.87682117558308705600,1
2008, Prahova,C  INDUSTRIA PRELUCRATOARE,19123000000,,7.92633642682760021400,1
2008, Arges,C  INDUSTRIA PRELUCRATOARE,20347000000,,8.43367501316013081400,1
2008, Covasna,C  INDUSTRIA PRELUCRATOARE,1571000000,,0.65116741758856664400,1
2008, Vaslui,C  INDUSTRIA PRELUCRATOARE,1224000000,,0.50733858633253060000,1
2008, Ialomita,C  INDUSTRIA PRELUCRATOARE,1831000000,,0.75893541795331987600,1
2008, Teleorman,C  INDUSTRIA PRELUCRATOARE,1231000000,,0.51024003249619703300,1
2008, Giurgiu,C  INDUSTRIA PRELUCRATOARE,679000000,,0.28144027787564401700,1
2008, Constanta,C  INDUSTRIA PRELUCRATOARE,15255000000,,6.32308017524734828500,1
2008, Galati,C  INDUSTRIA PRELUCRATOARE,10266000000,,4.25517804517137184500,1
2008, Vrancea,C  INDUSTRIA PRELUCRATOARE,1395000000,,0.57821677118781061000,1
2008, Olt,C  INDUSTRIA PRELUCRATOARE,5718000000,,2.37006702340638069500,1
2008, Brasov,C  INDUSTRIA PRELUCRATOARE,8935000000,,3.70348878176565433800,1
2008, Salaj,C  INDUSTRIA PRELUCRATOARE,2565000000,,1.06317277282920015400,1
2008, Maramures,C  INDUSTRIA PRELUCRATOARE,3507000000,,1.45362452799688301800,1
2008, Municipiul Bucuresti,C  INDUSTRIA PRELUCRATOARE,31800000000,,13.18085542922751068400,1
2008, Valcea,C  INDUSTRIA PRELUCRATOARE,4079000000,,1.69071412879934012800,1
2008, Mures,C  INDUSTRIA PRELUCRATOARE,5238000000,,2.17111071504068242000,1
2008, Mehedinti,C  INDUSTRIA PRELUCRATOARE,1355000000,,0.56163707882400242100,1
2008, Alba,C  INDUSTRIA PRELUCRATOARE,4800000000,,1.98956308365698274500,1
2008, Bacau,C  INDUSTRIA PRELUCRATOARE,3890000000,,1.61237508238034643300,1
2008, Bihor,C  INDUSTRIA PRELUCRATOARE,5653000000,,2.34312502331519238700,1
2008, Sibiu,C  INDUSTRIA PRELUCRATOARE,6325000000,,2.62166385502716997100,1
2008, Caras-Severin,C  INDUSTRIA PRELUCRATOARE,1817000000,,0.75313252562598701000,1
2008, Ilfov,C  INDUSTRIA PRELUCRATOARE,9521000000,,3.94638127489544431500,1
2008, Botosani,C  INDUSTRIA PRELUCRATOARE,1434000000,,0.59438197124252359500,1
2008, Harghita,C  INDUSTRIA PRELUCRATOARE,2934000000,,1.21612043488533070300,1
2008, Timis,C  INDUSTRIA PRELUCRATOARE,11067000000,,4.58718638475663084100,1
2008, Calarasi,C  INDUSTRIA PRELUCRATOARE,3113000000,,1.29031455821337235100,1
2008, Bistrita-Nasaud,C  INDUSTRIA PRELUCRATOARE,3458000000,,1.43331440485121798600,1
2008, Arad,C  INDUSTRIA PRELUCRATOARE,6224000000,,2.57980013180855429200,1
2008, Gorj,C  INDUSTRIA PRELUCRATOARE,1401000000,,0.58070372504238183900,1
2008, Neamt,C  INDUSTRIA PRELUCRATOARE,3415000000,,1.41549123556012418200,1
2008, Tulcea,C  INDUSTRIA PRELUCRATOARE,1389000000,,0.57572981733323938200,1
2008, Buzau,C  INDUSTRIA PRELUCRATOARE,4601000000,,1.90707911414703700200,1
2008, Hunedoara,C  INDUSTRIA PRELUCRATOARE,3588000000,,1.48719840503359460200,1
2008, Satu Mare,C  INDUSTRIA PRELUCRATOARE,3614000000,,1.49797520507006992500,1
2008, Constanta,D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT,2199000000,,4.51308363263211903500,1
2008, Caras-Severin,D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT,58000000,,0.11903540277065161600,1
2008, Cluj,D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT,946000000,,1.94150846587993843000,1
2008, Botosani,D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT,216000000,,0.44330425859415084700,1
2008, Iasi,D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT,646000000,,1.32580810672139558700,1
2008, Olt,D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT,1000000,,0.002052334530528476141600,1
2008, Prahova,D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT,892000000,,1.83068240123140071800,1
2008, Hunedoara,D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT,1243000000,,2.55105182144689584400,1
2008, Maramures,D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT,253000000,,0.51924063622370446400,1
2008, Mures,D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT,4552000000,,9.34222678296562339700,1
2008, Braila,D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT,416000000,,0.85377116469984607500,1
2008, Covasna,D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT,147000000,,0.30169317598768599300,1
2008, Tulcea,D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT,28000000,,0.05746536685479733200,1
2008, Neamt,D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT,279000000,,0.57260133401744484400,1
2008, Brasov,D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT,715000000,,1.46741918932786044100,1
2008, Alba,D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT,294000000,,0.60338635197537198600,1
2008, Vaslui,D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT,368000000,,0.75525910723447922000,1
2008, Arad,D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT,170000000,,0.34889687018984094400,1
2008, Giurgiu,D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT,45000000,,0.09235505387378142600,1
2008, Bistrita-Nasaud,D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT,176000000,,0.36121087737301180100,1
2008, Galati,D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT,987000000,,2.02565418163160595200,1
2008, Satu Mare,D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT,196000000,,0.40225756798358132400,1
2008, Harghita,D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT,273000000,,0.56028732683427398700,1
2008, Dolj,D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT,3263000000,,6.69676757311441765000,1
2008, Municipiul Bucuresti,D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT,22917000000,,47.03335043612108773700,1
2008, Mehedinti,D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT,473000000,,0.97075423293996921500,1
2008, Calarasi,D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT,6000000,,0.01231400718317085700,1
2008, Timis,D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT,619000000,,1.27039507439712673200,1
