"location_name","caen_description","an","valoare_ron","running_total_turnover"
 Alba,F  CONSTRUCTII,2016,874000000,874000000
 Alba,F  CONSTRUCTII,2017,1089000000,1963000000
 Alba,F  CONSTRUCTII,2018,996000000,2959000000
 Alba,F  CONSTRUCTII,2019,1336000000,4295000000
 Alba,F  CONSTRUCTII,2020,1505000000,5800000000
 Alba,F  CONSTRUCTII,2021,1667000000,7467000000
 Alba,F  CONSTRUCTII,2022,1938000000,9405000000
 Alba,F  CONSTRUCTII,2023,1936000000,11341000000
 Alba,F  CONSTRUCTII,2024,2136000000,13477000000
 Alba,P  INVATAMANT,2016,10000000,10000000
 Alba,P  INVATAMANT,2017,9000000,19000000
 Alba,P  INVATAMANT,2018,10000000,29000000
 Alba,P  INVATAMANT,2019,11000000,40000000
 Alba,P  INVATAMANT,2020,10000000,50000000
 Alba,P  INVATAMANT,2021,14000000,64000000
 Alba,P  INVATAMANT,2022,19000000,83000000
 Alba,P  INVATAMANT,2023,21000000,104000000
 Alba,P  INVATAMANT,2024,18000000,122000000
 Alba,Q  SANATATE SI ASISTENTA SOCIALA,2016,50000000,50000000
 Alba,Q  SANATATE SI ASISTENTA SOCIALA,2017,61000000,111000000
 Alba,Q  SANATATE SI ASISTENTA SOCIALA,2018,74000000,185000000
 Alba,Q  SANATATE SI ASISTENTA SOCIALA,2019,93000000,278000000
 Alba,Q  SANATATE SI ASISTENTA SOCIALA,2020,99000000,377000000
 Alba,Q  SANATATE SI ASISTENTA SOCIALA,2021,128000000,505000000
 Alba,Q  SANATATE SI ASISTENTA SOCIALA,2022,153000000,658000000
 Alba,Q  SANATATE SI ASISTENTA SOCIALA,2023,210000000,868000000
 Alba,Q  SANATATE SI ASISTENTA SOCIALA,2024,270000000,1138000000
 Arad,F  CONSTRUCTII,2016,1281000000,1281000000
 Arad,F  CONSTRUCTII,2017,1111000000,2392000000
 Arad,F  CONSTRUCTII,2018,1231000000,3623000000
 Arad,F  CONSTRUCTII,2019,1565000000,5188000000
 Arad,F  CONSTRUCTII,2020,1734000000,6922000000
 Arad,F  CONSTRUCTII,2021,1797000000,8719000000
 Arad,F  CONSTRUCTII,2022,2373000000,11092000000
 Arad,F  CONSTRUCTII,2023,2721000000,13813000000
 Arad,F  CONSTRUCTII,2024,2766000000,16579000000
 Arad,P  INVATAMANT,2016,9000000,9000000
 Arad,P  INVATAMANT,2017,13000000,22000000
 Arad,P  INVATAMANT,2018,15000000,37000000
 Arad,P  INVATAMANT,2019,16000000,53000000
 Arad,P  INVATAMANT,2020,15000000,68000000
 Arad,P  INVATAMANT,2021,22000000,90000000
 Arad,P  INVATAMANT,2022,28000000,118000000
 Arad,P  INVATAMANT,2023,31000000,149000000
 Arad,P  INVATAMANT,2024,34000000,183000000
 Arad,Q  SANATATE SI ASISTENTA SOCIALA,2016,149000000,149000000
 Arad,Q  SANATATE SI ASISTENTA SOCIALA,2017,177000000,326000000
 Arad,Q  SANATATE SI ASISTENTA SOCIALA,2018,208000000,534000000
 Arad,Q  SANATATE SI ASISTENTA SOCIALA,2019,253000000,787000000
 Arad,Q  SANATATE SI ASISTENTA SOCIALA,2020,272000000,1059000000
 Arad,Q  SANATATE SI ASISTENTA SOCIALA,2021,364000000,1423000000
 Arad,Q  SANATATE SI ASISTENTA SOCIALA,2022,385000000,1808000000
 Arad,Q  SANATATE SI ASISTENTA SOCIALA,2023,463000000,2271000000
