CAEN Rev.2  (activitati ale economiei nationale), Clase de marime, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Miliarde lei  lei RON  mii lei RON milioane lei RON (incepand cu 2005), Valoare
B  INDUSTRIA EXTRACTIVA, Total, Bihor, Anul 2008, Milioane lei RON, 240
B  INDUSTRIA EXTRACTIVA, Total, Bihor, Anul 2009, Milioane lei RON, 143
B  INDUSTRIA EXTRACTIVA, Total, Bihor, Anul 2010, Milioane lei RON, 147
B  INDUSTRIA EXTRACTIVA, Total, Bihor, Anul 2011, Milioane lei RON, 155
B  INDUSTRIA EXTRACTIVA, Total, Bihor, Anul 2012, Milioane lei RON, 371
B  INDUSTRIA EXTRACTIVA, Total, Bihor, Anul 2013, Milioane lei RON, 220
B  INDUSTRIA EXTRACTIVA, Total, Bihor, Anul 2014, Milioane lei RON, 238
B  INDUSTRIA EXTRACTIVA, Total, Bihor, Anul 2015, Milioane lei RON, 187
B  INDUSTRIA EXTRACTIVA, Total, Bihor, Anul 2016, Milioane lei RON, 177
B  INDUSTRIA EXTRACTIVA, Total, Bihor, Anul 2017, Milioane lei RON, 229
B  INDUSTRIA EXTRACTIVA, Total, Bihor, Anul 2018, Milioane lei RON, 246
B  INDUSTRIA EXTRACTIVA, Total, Bihor, Anul 2019, Milioane lei RON, 268
B  INDUSTRIA EXTRACTIVA, Total, Bihor, Anul 2020, Milioane lei RON, 321
B  INDUSTRIA EXTRACTIVA, Total, Bihor, Anul 2021, Milioane lei RON, 283
B  INDUSTRIA EXTRACTIVA, Total, Bihor, Anul 2022, Milioane lei RON, 383
B  INDUSTRIA EXTRACTIVA, Total, Bihor, Anul 2023, Milioane lei RON, 246
B  INDUSTRIA EXTRACTIVA, Total, Bihor, Anul 2024, Milioane lei RON, 362
B  INDUSTRIA EXTRACTIVA, Total, Bistrita-Nasaud, Anul 2008, Milioane lei RON, 21
B  INDUSTRIA EXTRACTIVA, Total, Bistrita-Nasaud, Anul 2009, Milioane lei RON, 12
B  INDUSTRIA EXTRACTIVA, Total, Bistrita-Nasaud, Anul 2010, Milioane lei RON, 11
B  INDUSTRIA EXTRACTIVA, Total, Bistrita-Nasaud, Anul 2011, Milioane lei RON, 22
B  INDUSTRIA EXTRACTIVA, Total, Bistrita-Nasaud, Anul 2012, Milioane lei RON, 25
B  INDUSTRIA EXTRACTIVA, Total, Bistrita-Nasaud, Anul 2013, Milioane lei RON, 26
B  INDUSTRIA EXTRACTIVA, Total, Bistrita-Nasaud, Anul 2014, Milioane lei RON, 34
B  INDUSTRIA EXTRACTIVA, Total, Bistrita-Nasaud, Anul 2015, Milioane lei RON, 51
B  INDUSTRIA EXTRACTIVA, Total, Bistrita-Nasaud, Anul 2016, Milioane lei RON, 25
B  INDUSTRIA EXTRACTIVA, Total, Bistrita-Nasaud, Anul 2017, Milioane lei RON, 29
B  INDUSTRIA EXTRACTIVA, Total, Bistrita-Nasaud, Anul 2018, Milioane lei RON, 32
B  INDUSTRIA EXTRACTIVA, Total, Bistrita-Nasaud, Anul 2019, Milioane lei RON, 42
B  INDUSTRIA EXTRACTIVA, Total, Bistrita-Nasaud, Anul 2020, Milioane lei RON, 51
B  INDUSTRIA EXTRACTIVA, Total, Bistrita-Nasaud, Anul 2021, Milioane lei RON, 58
B  INDUSTRIA EXTRACTIVA, Total, Bistrita-Nasaud, Anul 2022, Milioane lei RON, 81
B  INDUSTRIA EXTRACTIVA, Total, Bistrita-Nasaud, Anul 2023, Milioane lei RON, 95
B  INDUSTRIA EXTRACTIVA, Total, Bistrita-Nasaud, Anul 2024, Milioane lei RON, 97
B  INDUSTRIA EXTRACTIVA, Total, Cluj, Anul 2008, Milioane lei RON, 237
B  INDUSTRIA EXTRACTIVA, Total, Cluj, Anul 2009, Milioane lei RON, 307
B  INDUSTRIA EXTRACTIVA, Total, Cluj, Anul 2010, Milioane lei RON, 220
B  INDUSTRIA EXTRACTIVA, Total, Cluj, Anul 2011, Milioane lei RON, 228
B  INDUSTRIA EXTRACTIVA, Total, Cluj, Anul 2012, Milioane lei RON, 355
B  INDUSTRIA EXTRACTIVA, Total, Cluj, Anul 2013, Milioane lei RON, 344
B  INDUSTRIA EXTRACTIVA, Total, Cluj, Anul 2014, Milioane lei RON, 269
B  INDUSTRIA EXTRACTIVA, Total, Cluj, Anul 2015, Milioane lei RON, 367
B  INDUSTRIA EXTRACTIVA, Total, Cluj, Anul 2016, Milioane lei RON, 331
B  INDUSTRIA EXTRACTIVA, Total, Cluj, Anul 2017, Milioane lei RON, 211
B  INDUSTRIA EXTRACTIVA, Total, Cluj, Anul 2018, Milioane lei RON, 227
B  INDUSTRIA EXTRACTIVA, Total, Cluj, Anul 2019, Milioane lei RON, 562
B  INDUSTRIA EXTRACTIVA, Total, Cluj, Anul 2020, Milioane lei RON, 493
B  INDUSTRIA EXTRACTIVA, Total, Cluj, Anul 2021, Milioane lei RON, 457
B  INDUSTRIA EXTRACTIVA, Total, Cluj, Anul 2022, Milioane lei RON, 928
B  INDUSTRIA EXTRACTIVA, Total, Cluj, Anul 2023, Milioane lei RON, 455
B  INDUSTRIA EXTRACTIVA, Total, Cluj, Anul 2024, Milioane lei RON, 591
B  INDUSTRIA EXTRACTIVA, Total, Maramures, Anul 2008, Milioane lei RON, 40
B  INDUSTRIA EXTRACTIVA, Total, Maramures, Anul 2009, Milioane lei RON, 55
B  INDUSTRIA EXTRACTIVA, Total, Maramures, Anul 2010, Milioane lei RON, 33
B  INDUSTRIA EXTRACTIVA, Total, Maramures, Anul 2011, Milioane lei RON, 43
B  INDUSTRIA EXTRACTIVA, Total, Maramures, Anul 2012, Milioane lei RON, 63
B  INDUSTRIA EXTRACTIVA, Total, Maramures, Anul 2013, Milioane lei RON, 80
B  INDUSTRIA EXTRACTIVA, Total, Maramures, Anul 2014, Milioane lei RON, 103
B  INDUSTRIA EXTRACTIVA, Total, Maramures, Anul 2015, Milioane lei RON, 101
